addr,name,name_confidence,name_evidence,unit,scale,offset,x_unit,x_scale,x_offset,y_unit,y_scale,y_offset,scale_confidence,fr_module,fr_page,description,x_axis_addr,x_n,x_elem,y_axis_addr,y_n,y_elem,signed
0x5C6C50,KFWKSTN,hypothesis,"B8 #16 re/findings/start.md S3.1; speed weighting of the start factor, lookup_2d_u8(0x5C6C46, tmst, nmot8) at 0x41A5CC",-,1/256,,1/min,40,,degC,0.75,-48,static,ESSTT,1588,"Speed weighting of the cranking fuel factor. All 16 cells are 255, i.e. 1.0 - the map is off in this dataset, as the FR recommends",,,,,,,
0x5C6C7C,KFWKSTT,hypothesis,"B8 #16 re/findings/start.md S3.1; decay of the start enrichment, lookup_2d_u8 at 0x41A520; VERIFIED-DYNAMIC tests/test_start_model.py",-,1/128,,inj,1,,degC,0.75,-48,static,ESSTT,1588,"Decay of the cranking enrichment over the injections since start (anztist = 0x7FD269). 128 = 1.0. The x axis is a plain injection count, not a time",,,,,,,
0x5C6D40,KFWKSTTHDR,hypothesis,"B8 #16 re/findings/start.md S3.1; high-pressure-start twin of KFWKSTT, only caller 0x41A690 at 0x41A6FC",-,1/128,,inj,1,,degC,0.75,-48,hypothesis,ESSTT,1588,High-pressure-start twin of KFWKSTT,,,,,,,
0x5C6E24,KFKSTT,hypothesis,"B8 #16 re/findings/start.md S3.1; lookup_2d_g_u8_u16_u16(12, 0x5C6E14, 2, 0x5C6E20, .., tmst, prist) at 0x41A50C; VERIFIED-DYNAMIC tests/test_start_model.py",-,1/1024,,bar,0.005,,degC,0.75,-48,static,ESSTT,1588,"Cranking fuel quantity factor over coolant temperature at start. 1024 = 1.0, so 25395 = 24.8x at -32 degC. Both rail-pressure columns are identical: the pressure dependence is not calibrated in this dataset",,,,,,,
0x5C6E66,KFKSTTHDR,hypothesis,"B8 #16 re/findings/start.md S3.1; high-pressure-start twin of KFKSTT, only caller 0x41A690 at 0x41A720",-,1/128,,bar,0.005,,degC,0.75,-48,hypothesis,ESSTT,1588,"High-pressure-start twin of KFKSTT. u8 here where KFKSTT is u16; 128 = 1.0 is inferred from the 255..83 range, not from the arithmetic - treat the factor as unproven",,,,,,,
0x5C6E8C,cand_KFWKSTAB,hypothesis,"B8 #16 re/findings/start.md S3.1; 0x41A544, only on the 0x7FEA29 branch",-,1/128,,degC,0.75,-48,,,,hypothesis,ESSTT,1588,"Repeat-start weighting of the cranking factor, f(0x80218C, tmst). 128 = 1.0; 96 = 0.75 in the two coldest cells of the lowest row. The y input 0x80218C is not identified",,,,,,,
0x5C6F36,cand_KFETAKS,hypothesis,B8 #16 re/findings/start.md S3.1 S5.1; 0x44319C,-,1/4096,,,,,degC,0.75,-48,hypothesis,MDBAS,729,"Cold-start efficiency derate feeding the torque coordinator, 4096 = 1.0 (0.80..1.00)",,,,,,,
0x5C721C,FKKVS_rail_pulsation,hypothesis,"B6 #14 re/findings/injection.md S5.4; lookup_2d_u16(0x5C71F8, ti_eff, nmot_w) at 0x0AC570",-,1/32768,,1/min,0.25,,us,1,,static,RKTI,1826,"Fuel-rail pulsation correction over effective injection time and engine speed. Q15, 1.000..1.050 in this dataset",,,,,,,
0x5C72B2,KLHDEV_injector_curve,hypothesis,"B6 #14 re/findings/injection.md S5.5; lookup_1d_u16(0x5C729C, ti_raw) at 0x0AC3CC",-,1/32768,,us,1,,,,,static,RKTI,1826,"HDEV master curve: linearises small injection quantities. Q15, 0.977..1.002 over ti_raw 0.55..6.5 ms",,,,,,,
0x5C72C6,KLPBR_backpressure_n,static,B6 #14 re/findings/injection.md S5.7; direct load at 0x0AC460,-,,,,,,,,,static,RKTI,1826,Breakpoint count (12) of KLPBR,,,,,,,
